date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4
2020-02-02,0
2020-02-09,4
2020-02-16,-2
2020-02-23,-6
2020-03-01,3
2020-03-08,65
2020-03-15,77
2020-03-22,800
2020-03-29,192
2020-04-05,26
2020-04-12,-116
2020-04-19,-272
2020-04-26,-338
2020-05-03,-3
2020-05-10,-21
2020-05-17,-130
2020-05-24,30
2020-05-31,264
2020-06-07,-36
2020-06-14,-399
2020-06-21,-31
2020-06-28,-51
2020-07-05,-18
2020-07-12,4
2020-07-19,14
2020-07-26,60
2020-08-02,-19
2020-08-09,-16
2020-08-16,20
2020-08-23,-23
2020-08-30,-22
2020-09-06,14
2020-09-13,403
2020-09-20,-178
2020-09-27,303
2020-10-04,717
2020-10-11,1689
2020-10-18,1523
2020-10-25,1584
2020-11-01,-309
2020-11-08,2003
2020-11-15,-957
2020-11-22,618
2020-11-29,2027
2020-12-06,-1314
2020-12-13,2704
2020-12-20,-1164
2020-12-27,2208
2021-01-03,3246
2021-01-10,1738
2021-01-17,5527
2021-01-24,2925
2021-01-31,5791
2021-02-07,-3665
2021-02-14,-5676
2021-02-21,-2517
2021-02-28,-2117
2021-03-07,-4475
2021-03-14,-2405
2021-03-21,-1026
2021-03-28,-373
2021-04-04,111
2021-04-11,882
2021-04-18,4301
2021-04-25,3690
2021-05-02,4182
2021-05-09,3595
2021-05-16,3768
2021-05-23,12548
2021-05-30,11461
2021-06-06,-2160
2021-06-13,-10589
2021-06-20,-1793
2021-06-27,-1260
2021-07-04,6964
2021-07-11,13040
2021-07-18,22621
2021-07-25,16612
2021-08-01,20107
2021-08-08,15134
2021-08-15,10241
2021-08-22,7835
2021-08-29,802
2021-09-05,-12250
2021-09-12,-3883
2021-09-19,-16731
2021-09-26,-17727
2021-10-03,-21075
2021-10-10,-17301
2021-10-17,-10936
2021-10-24,-10064
2021-10-31,-1103
2021-11-07,-5259
2021-11-14,5333
2021-11-21,292
2021-11-28,-3077
2021-12-05,-2259
2021-12-12,-2089
2021-12-19,-5551
2021-12-26,-5092
2022-01-02,951
2022-01-09,-1310
2022-01-16,263
2022-01-23,2470
2022-01-30,8441
2022-02-06,15197
2022-02-13,77779
2022-02-20,55430
2022-02-27,16511
2022-03-06,5015
2022-03-13,-2007
2022-03-20,-31411
2022-03-27,-23810
2022-04-03,-38143
2022-04-10,-28249
2022-04-17,-16144
2022-04-24,-21159
2022-05-01,-23614
2022-05-08,-9052
2022-05-15,9841
2022-05-22,-6015
2022-05-29,-794
2022-06-05,-1159
2022-06-12,54
2022-06-19,3005
2022-06-26,1738
2022-07-03,-1361
2022-07-10,6664
2022-07-17,4960
2022-07-24,3591
2022-07-31,-1567
2022-08-07,215
2022-08-14,-1876
2022-08-21,-3892
2022-08-28,-4071
2022-09-04,-3166
2022-09-11,-1477
2022-09-18,-445
2022-09-25,-664
2022-10-02,-672
2022-10-09,-1273
2022-10-16,939
2022-10-23,2568
2022-10-30,2225
2022-11-06,10033
2022-11-13,-3738
2022-11-20,-3962
2022-11-27,-477
2022-12-04,-4048
2022-12-11,-3621
2022-12-18,-3688
2022-12-25,-959
2023-01-01,-2919
2023-01-08,-140
2023-01-15,-706
2023-01-22,-437
2023-01-29,-738
2023-02-05,563
2023-02-12,-371
2023-02-19,-47
2023-02-26,-128
2023-03-05,71
2023-03-12,128
2023-03-19,282
2023-03-26,380
2023-04-02,841
2023-04-09,1505
2023-04-16,-306
2023-04-23,1430
2023-04-30,-881
2023-05-07,-4671
2023-05-14,7450
2023-05-21,4613
2023-05-28,-5770
2023-06-04,-638
2023-06-11,-1278
2023-06-18,-3763
2023-06-25,2673
2023-07-02,-3433
2023-07-09,2698
2023-07-16,-1150
2023-07-23,-326
2023-07-30,-20
2023-08-06,-244
2023-08-13,-24
2023-08-20,-239
2023-08-27,15
2023-09-03,523
2023-09-10,-553
2023-09-17,48
2023-09-24,-37
2023-10-01,92
2023-10-08,150
2023-10-15,119
2023-10-22,80
2023-10-29,207
2023-11-05,353
2023-11-12,109
2023-11-19,504
2023-11-26,1321
2023-12-03,3170
2023-12-10,5961
2023-12-17,7939
2023-12-24,5216
2023-12-31,-5314
2024-01-07,-20598
