country,p,q,rmse,mae,mase,mape
Italy,5,3,117149.04934435256,111214.82782563861,21.771948054772043,0.811837
Mexico,1,4,38297.52189732559,37296.22015860018,35.11804484079203,0.880261
India,2,4,232327.56012554487,222682.20819185322,60.6058650195226,0.936591
Australia,2,3,42799.661550750534,35349.4627096543,12.749863390888208,5.453362
Argentina,1,4,53509.7025573193,52340.50047871859,297.47165506341315,0.987083
United Kingdom,1,2,107217.96301583746,103465.09465027953,54.9199114545573,0.896284
Malaysia,4,3,6484.308540087018,5415.5252660591605,2.306585526047927,0.760484
Morocco,2,3,6660.145762797014,6487.77815998177,152.0862804798471,0.977338
Sweden,2,3,13678.136433782332,13375.469214444975,51.223074705048006,0.922396
Peru,1,3,23858.349335414743,23464.85489350612,44.740689700681344,0.946494
