country,rmse,mae,mase
Italy,70934.58287769741,61361.218343142944,12.012366376531434
Mexico,4746.4951354017685,3280.7741405173056,3.089170240020429
India,234417.36840370504,188939.11088048475,51.42224133625327
Australia,60161.86422080385,50844.589601911706,18.33865416610993
Argentina,11020.41156053642,7920.874391776799,45.017445254068306
United Kingdom,34633.52513118688,20218.658663863553,10.732188930987503
Malaysia,5402.560762424174,3299.284178109067,1.4052341661556143
Morocco,271.51285913151315,203.621388096404,4.773285827302781
Sweden,8164.807614586215,6125.061049313932,23.456706801968167
Peru,1319.2685185214543,1155.794877173096,2.2037664495231795
