country,p,d,q,rmse,mae,mase,mape
Italy,3,1,1,17095.94079664002,14202.924997070044,2.7804,0.5694
Mexico,2,0,1,39267.48313402313,38366.44332652245,36.1258,0.8849
India,2,0,3,233612.32208368686,224287.75480345852,61.0428,0.9386
Australia,2,1,3,17534.713077202334,13022.440643534874,4.6969,NA
Argentina,1,0,3,53683.58934972121,52542.942512919755,298.6222,0.9871
United Kingdom,0,1,1,26283.96443309316,25572.59238112322,13.5741,0.7343
Malaysia,2,1,1,7604.342294555687,6854.283764176701,2.9194,0.7335
Morocco,2,0,2,6712.785391529952,6547.970710276527,153.4973,0.9778
Sweden,1,0,2,13294.720842591441,12952.387819881795,49.6028,0.9194
Peru,1,0,2,23914.449722499412,23530.94735915295,44.8667,0.9469
