country,rmse,mae,mase,mape
Italy,93871.63286795544,68603.46822578376,13.430143945649649,Inf
Mexico,24853.067983840807,14210.198107389368,13.380293558160075,NA
India,165849.45964181208,63753.79558773621,17.351426327439906,Inf
Australia,75308.0181269033,57567.372957427935,20.76343131458861,NA
Argentina,10059.074733986192,3366.0205019196037,19.13041871066035,NA
United Kingdom,11070.053888542643,9255.095238095239,4.91266173097066,NA
Malaysia,8700.751912454154,5712.981343535989,2.4332782934592627,NA
Morocco,5023.184652483294,2514.760009856813,58.95092075707796,Inf
Sweden,1492.4878080382625,1096.2857142857142,4.198366736943236,NA
Peru,17511.924666616727,14492.368882949822,27.632754694737603,Inf
