location,rmse,mase,mae
Mexico,24526.514667760228,0.9448331672971434,13974.172528435922
Sweden,1705.615007674053,1.6386349011935522,1195.189084837221
Argentina,9254.174987225266,4.135254908157508,3070.42676930695
India,177629.45032831986,7.726567714152099,70250.32158886679
Peru,26024.4775491336,35.32195465414574,24281.320827964188
Italy,201693.2923984806,13.416290311506474,187124.02855522014
Malaysia,10232.610432109659,2.0638926097481787,7051.6330833062775
Australia,171241.0387546562,13.108279160907049,167070.01153591688
Morocco,6278.106923585038,41.017719966793955,3900.589846366073
United Kingdom,11837.011152603298,0.4123690539608839,9932.281760458616
